Item,Profile
DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Watermelon Ice,"Watermelon, Ice, Menthol, Fruit"
DISP EBCreate BC5000 Disposable 0% () - Cranberry Grape,"Cranberry, Grape, Fruit"
DISP EBCreate BC5000 Disposable 0% () - Peach Mango Watermelon,"Peach, Mango, Watermelon, Fruit"
DISP EBCreate BC5000 Disposable 0% () - Rinbo Cloud,"Strawberry, Lime, Grape, Lemon, Orange, Skittles, Fruit, Candy"
DISP EBCreate BC5000 Disposable 0% () - Tropical Rainbow Blast,"Mango, Banana, Pineapple, Strawberry, Lime, Fruit, Candy"
DISP EBCreate BC5000 Disposable 0% () - Watermelon Ice,"Watermelon, Ice, Methol, Fruit"
DISP EBCreate BC5000 Thermal Edition 9. 5% Blackberry Cherry,"Blackberry, Cherry, Fruit"
DISP EBCreate BC5000 Thermal Edition 9. 5% Cherry Dragonfruit,"Cherry, Dragonfruit, Fruit"
DISP EBCreate BC5000 Thermal Edition 9. 5% Nectarine,"Nectarine, Fruit"
DISP EBCreate BC5000 Thermal Edition 9. 5% Sour Grape Chew,"Grape, Candy, Fruit"
DISP Elf Bar AIRO MAX 5000 Puffs Banana Pineapple,"Banana, Pineapple, Fruit"
DISP Elf Bar AIRO MAX 5000 Puffs Berry Blast,"Raspberry, Strawberry, Blueberry, Ice, Fruit"
DISP Elf Bar AIRO MAX 5000 Puffs Grape Ice,"Grape, Ice, Menthol, Fruit"
DISP Elf Bar AIRO MAX 5000 Puffs Peach Ice Tea,"Peach, Ice, Tea, Fruit"
DISP Elf Bar AIRO MAX 5000 Puffs Skit Ice,"Strawberry, Lime, Grape, Lemon, Orange, Skittles, Ice, Menthol, Fruit, Candy"
DISP Elf Bar AIRO MAX 5000 Puffs Watermelon Kiwi Ice,"Watermelon, Kiwi, Ice, Menthol, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Blue Razz Lemon,"Blue Razz, Lemon, Blue Raspberry, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Cranberry Grape,"Cranberry, Grape, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Grape Energy,"Grape, RedBull, Energy Drink, Ice, Menthol, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Gumi,"Lemon, Lime, Peach, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Honeydew Pineapple Orange,"Honeydew, Pineapple, Orange, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Mango Peach,"Mango, Peach, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Mint Tobacco,"Mint, Tobacco, Menthol"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Passion Fruit Orange Guava,"Passionfruit, Orange, Guava, Tropical, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Peach Ice,"Peach, Ice, Menthol, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Peach Mango Watermelon,"Peach, Mango, Watermelon, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Rainbow Candy,"Strawberry, Lime, Grape, Lemon, Orange, Skittles, Candy, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Rainbow Cloudz,"Strawberry, Lime, Grape, Lemon, Orange, Skittles, Candy, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Strawberry Ice,"Strawberry, Ice, Menthol, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Strawberry Mango,"Strawberry, Mango, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Strawberry Pina Colada,"Strawberry, Pina Colada, Pineapple, Coconut, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Strazz,"Strawberry, Raspberry, Ice, Menthol, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Tropical Rainbow Blast,"Mango, Banana, Pineapple, Strawberry, Lime, Fruit, Candy"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Watermelon Cantaloupe Honeydew,"Watermelon, Cantaloupe, Honeydew, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Watermelon Ice,"Watermelon, Ice, Menthol, Fruit"
DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Watermelon Nana Ice,"Watermelon, Banana, Ice, Menthol, Fruit"
DISP Elf VPR 7000 Ultra 7000 Puffs 700mAh 5% Peach Ice,"Peach, Ice, Menthol, Fruit"
DISP Elf VPR 7000 Ultra 7000 Puffs 700mAh 5% Strawberry Watermelon,"Strawberry, Watermelon, Fruit"
DISP Elf VPR 7000 Ultra 7000 Puffs 700mAh 5% Watermelon Bubblegum,"Watermelon, Bubblegum, Fruit, Candy"
DISP Geek Bar Pulse 5% Blo Pop,"Pineapple, Banana, Citrus, Strawberry, Bubble Gum, Fruit, Candy"
