Item,Profile
DISP RAZ CA6000 5% Frozen Strawberry,"Strawberry, Ice, Menthol, Fruit"
DISP RAZ CA6000 5% Fuji Blue Raz,"Blue Raspberry, Blue Razz, Apple, Fruit"
DISP RAZ CA6000 5% Lemon Lime,"Lemon, Lime, Citrus"
DISP RAZ CA6000 5% Miami Mint,"Mint, Citrus, Lemon, Lime, Ice, Menthol"
DISP RAZ CA6000 5% Peach Pear,"Peach, Pear, Fruit"
DISP RAZ CA6000 5% Strawberry Kiwi,"Strawberry, Kiwi, Fruit"
DISP RAZ CA6000 5% Strazz,"Strawberry, Raspberry, Fruit"
DISP RAZ CA6000 5% Tobacco,Tobacco
DISP RAZ CA6000 5% Watermelon Ice,"Watermelon, Ice, Menthol, Fruit, Lush Ice"
DISP RAZ TN9000 5% Apple Cinnamon,"Apple, Cinnamon, Apple Pie, Dessert"
DISP RAZ TN9000 5% Blue Raz Ice,"Blue Rasberry, Ice, Blue Razz, Menthol"
DISP RAZ TN9000 5% Blueberry Watermelon,"Blueberry, Watermelon, Fruit"
DISP RAZ TN9000 5% Cactus Jack,"Cactus, Pineapple, Mango, Papaya, Guava, Fruit, Tropical"
DISP RAZ TN9000 5% Cherry Lemon,"Cherry, Lemon, Fruit"
DISP RAZ TN9000 5% Citronnade,"Citrus, Lemon, Lemonade"
DISP RAZ TN9000 5% Dragon Fruit Lemonade,"Dragon Fruit, Lemonade, Fruit, Lemon"
DISP RAZ TN9000 5% Graham Twist,"Graham, Honey, Dessert"
DISP RAZ TN9000 5% Grape Ice,"Grape, Ice, Menthol"
DISP RAZ TN9000 5% Mango Colada,"Mango, Coconut, Pineapple, Fruit"
DISP RAZ TN9000 5% Miami Mint,"Mint, Citrus, Lemon, Lime, Ice, Menthol"
DISP RAZ TN9000 5% Night Crawler,"Mystery, Gummy Worm, Candy, Fruit"
DISP RAZ TN9000 5% Polar Ice,"Mint, Cool, Ice, Menthol"
DISP RAZ TN9000 5% Pumpkin Pie Frosting,"Pumpkin, Cinnamon, Graham, Frosting, Ice, Vanilla, Dessert"
DISP RAZ TN9000 5% Strawberry Ice,"Strawberry, Ice, Menthol, Fruit"
DISP RAZ TN9000 5% Strawberry Shortcake,"Strawberry, Cake, Cream, Vanilla, Dessert"
DISP RAZ TN9000 5% Triple Berry Ice,"Raspberry, Blueberry, Blackberry, Fruit"
DISP RAZ TN9000 5% Watermelon Ice,"Watermelon, Ice, Menthol, Fruit, Lush Ice"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Apple Gummies,"Apple, Green Apple, Sour Apple, Gummy, Candy, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Blue Razz,"Blue Razz, Blue Raspberry, Camdy, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Cherry Berry,"Cherry, Berry, Mixed Berry, Strawberry, BLueberry, Raspberry, Blackberry, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Coconut,Coconut
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Cool Mint,"Mint, Cool, Ice, Menthol"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Banana,"Banana, Ice, Menthol, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Blueberry,"Blueberry, Ice, Menthol, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Grape,"Grape, Ice, Menthol, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Mango,"Mango, Ice, Menthol, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Peach,"Peach, Ice, Menthol, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Strawberry,"Strawberry, Ice, Menthol, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Grape Razz,"Grape, Blue Razz, Blue Raspberry, Raspberry, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Melon Head,"Watermelon, Honeydew, Cantaloupe, Fruit, Melon"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Mint Berry,"Mint, Berry, Strawberry, Blueberry, Raspberry, Blackberry, Fruit, Ice, Menthol"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Orange Soda,"Orange, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Passion Pom,"Passionfruit, Pomegranate, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Peach Watermelon,"Peach, Watermelon, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Pineapple Kiwiberry,"Pineapple, Kiwi, Berry, Tropical, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Pineapple Mango,"Pineapple, Mango, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Raspberry Watermelon,"Raspberry, Watermelon, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Strawberry Banana,"Strawberry, Banana, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Strawberry Watermelon,"Strawberry, Watermelon, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Tobacco,Tobacco
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Watermelon,"Watermelon, Fruit"
DISP Tyson 2.0 Heavy Weight 7000 Puffs - Watermelon Bubble Gum,"Watermelon, Bubblegum, Fruit, Candy"
DISP UWell Caliburn Bar B6000 5% Blue Razz Ice,"Blue Razz, Ice, Blue Raspberry, Menthol, Fruit, Candy"
DISP UWell Caliburn Bar B6000 5% Cool Mint,"Mint, Ice, Menthol"
DISP UWell Caliburn Bar B6000 5% Dragon Fruit Berry,"Dragon Fruit, Berry, Mixed Berry, Strawberry, Blueberry, Raspberry"
DISP UWell Caliburn Bar B6000 5% Grape Ice,"Grape, Ice, Fruit, Menthol"
DISP UWell Caliburn Bar B6000 5% Peach Soda,"Peach, Fruit"
DISP UWell Caliburn Bar B6000 5% Strawberry Banana,"Strawberry, Banana, Fruit"
DISP Yaya Go Tobacco Free Nicotine 1600 Puffs By TVL Banana Bread,"Banana, Dessert, Cake"
DISP Yogi Bars 5% 8000 - Apple Cinnamon,"Apple, Cinnamon, Granola, Dessert, Honey"
DISP Yogi Bars 5% 8000 - Blueberry,"Blueberry, Granola, Honey, Dessert"
DISP Yogi Bars 5% 8000 - Java,"Coffee, Chocolate, Granola, Honey, Dessert"
DISP Yogi Bars 5% 8000 - Original,"Honey, Granola, Dessert"
DISP Yogi Bars 5% 8000 - Peanut Butter,"Peanut Butter, Granola, Honey, Dessert"
DISP Yogi Bars 5% 8000 - Strawberry,"Strawberry, Granola, Honey Dessert"
DISP Yogi Bars 5% 8000 - Vanilla Tobacco,"Vanilla, Tobacco. Granola, Honey, Dessert"
SALT 7 Daze Fusion Banana Cantaloupe Honeydew,"Banana, Cantaloupe, Honeydew, Fruit"
SALT 7 Daze Fusion Grape Apple Aloe,"Grape, Apple, Aloe, Fruit"
SALT 7 Daze Fusion Grapefruit Orange Mango,"Grapefruit, Orange, Mango, Fruit"
SALT 7 Daze Fusion Kiwi Passionfruit Guava,"Kiwi, Passionfruit, Guava, Fruit"
SALT 7 Daze Fusion Lemon Passionfruit Blueberry,"Lemon, Passionfruit, Blueberry, Fruit"
SALT 7 Daze Fusion Orange Cream Mango,"Orange, Cream, Mango, Fruit, Vanilla"
SALT 7 Daze Fusion Orange Yuzu Tangerine,"Orange, Yuzu, Tangerine, Fruit"
SALT 7 Daze Fusion Pineapple Coconut Banana,"Pineapple, Coconut, Banana, Fruit, Pina Colada"
SALT 7 Daze Fusion Pineapple Mango Orange,"Pineapple, Mango, Orange, Fruit"
SALT 7 Daze Fusion Raspberry Green Apple Watermelon,"Raspberry, Green Apple, Watermelon, Fruit"
SALT 7 Daze Fusion Strawberry Banana Apple,"Strawberry, Banana, Apple, Fruit"
SALT 7 Daze Fusion Strawberry Blackberry Lemon,"Strawberry, Blackberry, Lemon, Fruit"
SALT 7 Daze Fusion Strawberry Mango Nectarine,"Strawberry, Mango, Nectarine, Fruit"
SALT 7 Daze Fusion Watermelon Apple Pear,"Watermelon, Apple, Pear, Fruit"
SALT 7 Daze Fusion Yellow Green Red Mango,"Mango, Fruit"
SALT 7 Daze Glacial Mint,"Mint, Cool, Ice, Menthol"
SALT 7 Daze Iced Fusion Banana Cantaloupe Honeydew Iced,"Banana, Cantaloupe, Honeydew, Iced, Fruit, Menthol"
SALT 7 Daze Iced Fusion Grape Apple Aloe Iced Iced,"Grape, Apple, Aloe, Ice, Fruit, Menthol"
SALT 7 Daze Iced Fusion Grapefruit Orange Mango Iced,"Grapefruit, Orange, Mango, Fruit, Ice, Menthol"
SALT 7 Daze Iced Fusion Kiwi Passionfruit Guava Iced,"Kiwi, Passionfruit, Guava, Ice, Menthol, Fruit"
SALT 7 Daze Iced Fusion Lemon Passionfruit Blueberry Iced,"Lemon, Passionfruit, Blueberry, Fruit, Ice, Menthol"
SALT 7 Daze Iced Fusion Orange Cream Mango Iced,"Orange, Cream, Mango, Ice, Fruit, Menthol"
SALT 7 Daze Iced Fusion Orange Yuzu Tangerine Iced,"Orange, Yuzu, Tangerine, Fruit, Ice, Menthol"
SALT 7 Daze Iced Fusion Pineapple Coconut Banana Iced,"Pineapple, Coconut, Banana, Fruit, Pina Colada, Ice, Menthol"
SALT 7 Daze Iced Fusion Pineapple Mango Orange Iced,"Pineapple, Mango, Orange, Fruit, Ice, Menthol"
SALT 7 Daze Iced Fusion Raspberry Green Apple Watermelon Iced,"Raspberry, Green Apple, Watermelon, Ice, Fruit, Menthol"
SALT 7 Daze Iced Fusion Strawberry Banana Apple Iced,"Strawberry, Banana, Apple, Fruit, Ice, Menthol"
SALT 7 Daze Iced Fusion Strawberry Blackberry Lemon Iced,"Strawberry, Blackberry, Lemon, Fruit, Ice, Menthol"
SALT 7 Daze Iced Fusion Strawberry Mango Nectarine Iced,"Strawberry, Mango, Nectarine, Fruit, Ice, Menthol"
SALT 7 Daze Iced Fusion Watermelon Apple Pear Iced,"Watermelon, Apple, Pear, Melon, Fruit, Ice, Menthol"
SALT 7 Daze Iced Fusion Yellow Green Red Mango Iced,"Mango, Ice, Fruit, Menthol"
SALT 7 Daze Reds Apple Berries,"Apple, Berry, Blueberry, Raspberry, Pomegranate, Fruit"
SALT 7 Daze Reds Apple Fruit Mix,"Apple, Fruit, Orange, Pineapple, Passionfruit"
SALT 7 Daze Reds Apple Gold Kiwi,"Apple, Kiwi, Fruit"
SALT 7 Daze Reds Apple Gold Kiwi Iced,"Apple, Kiwi, Ice, Fruit, Menthol"
SALT 7 Daze Reds Apple Grape,"Apple, Grape, Fruit"
SALT 7 Daze Reds Apple Guava,"Apple, Guava, Fruit, Tropical"
SALT 7 Daze Reds Apple Mango,"Apple, Mango, Fruit, Tropical"
SALT 7 Daze Reds Apple Original,"Apple, Red Apple, Fruit"
SALT 7 Daze Reds Apple Peach,"Apple, Peach, Fruit"
SALT 7 Daze Reds Apple Strawberry,"Apple, Strawberry, Fruit"
SALT 7 Daze Reds Apple Watermelon,"Apple, Watermelon, Fruit"
SALT 7 Daze Reds Iced Apple Berries Iced,"Apple, Berry, Ice, Blueberry, Raspberry, Pomegranate, Fruit, Menthol"
SALT 7 Daze Reds Iced Apple Fruit Mix Iced,"Apple, Orange, Pineapple, Passionfruit, Fruit, Menthol, Ice"
SALT 7 Daze Reds Iced Apple Grape Iced,"Apple, Grape, Ice, Menthol, Fruit"
SALT 7 Daze Reds Iced Apple Original Iced,"Apple, Red Apple, Ice, Menthol, Fruit"
SALT 7 Daze Reds Iced Apple Peach Iced,"Apple, Peach, Ice, Fruit, Menthol"
SALT 7 Daze Reds Iced Apple Strawberry Iced,"Apple, Strawberry, Ice, Fruit, Menthol"
SALT 7 Daze Reds Iced Apple Watermelon Iced,"Apple, Watermelon, Ice, Fruit, Menthol"
SALT 7Daze Iced Slapple Iced,"Apple, Blue Razz, Blue Raspberry, Ice, Menthol, Fruit, Candy"
SALT 7Daze Slapple,"Apple, Blue Razz, Blue Raspberry, Fruit, Candy"
SALT Air Factory Bold Tobacco,Tobacco
SALT Air Factory Menthol,"Menthol, Ice"
SALT Air Factory Mint,"Mint, Ice, Menthol"
SALT Air Factory Tobacco,Tobacco
SALT Alt Zero Just Blues,"Blue, Candy, Blueberry, Blue Razz, Blue Raspberry, Fruit"
SALT Alt Zero Just Reds,"Red, Candy, Strawberry, Watermelon, Cherry, Fruit Punch, Fruit, Raspberry"
SALT Alt Zero Paradox,"Grape, Citrus, Blackberry, Fruit"
SALT Alt Zero Paradox on the Rocks,"Grape, Citrus, Blackberry, Ice, Fruit, Menthol"
SALT Bad Drip Bad Blood,"Blueberry, Pomegranate, Vanilla, Fruit, Creamy"
SALT Bad Drip Cereal Trip,"Cereal, Fruity, Fruit Loops, Milk, Dessert"
SALT Bad Drip Don't Care Bear,"Fruit, Candy, Pear, Peach, Gummy"
SALT Bad Drip Drooly,"Grape, Berry, Candy, Fruit"
SALT Bad Drip Farley's Gnarly Sauce,"Strawberrry, Kiwi, Bubblegum, Candy, Fruit"
SALT Bad Drip God Nectar,"Passionfruit, Orange, Mango, Guava, Fruit, Tropical"
SALT Bad Drip Ugly Butter,"Cinnamon, Sugar, Cinnamon Sugar, Banana, Fried Dough, Dessert"
SALT Barista Brew Salted Caramel Macchiato,"Caramel, Coffee, Espresso, Cream, Dessert"
SALT Beard #00 0030,"Tobacco, Espresso, Coffee, Caramel, Dessert"
SALT Beard #00 0050,"Tobacco, Espresso, Coffee, Caramel, Dessert"
SALT Beard #32 3230,"Vanilla, Funnel Cake, Cake, Cinnamon, Sugar, Dessert"
SALT Beard #32 3250,"Vanilla, Funnel Cake, Cake, Cinnamon, Sugar, Dessert"
SALT Beard The Salty One Apple Cereal Donut Milk,"Apple, Cereal, Donut, Milk, Dessert, Cinnamon"
SALT Beard The Salty One Stawberry Cereal Donut Milk,"Stawberry, Donut, Milk, Dessert"
SALT Bluebird Bluebird,"Blueberry, Cheesecake, Dessert"
SALT Bluebird Redbird,"Strawberry, Cheesecake, Dessert"
SALT Bluebird Saltybird,"Marshmallow, Cereal, Lucky Charms, Milk, Dessert"
SALT Brewed Awakening Classic,"Coffee, Caramel, Hazelnut, Cream, Dessert"
SALT Candy King Batch,"Sour Patch Kids, Candy, Orange, Cherry, Lemon, Lime, Fruit"
SALT Candy King Cola Gummies,"Cola, Gummy, Candy"
SALT Candy King Gush,"Gushers, Candy, Gummy, Blueberry, Raspberry, Strawberry, Green Apple, Orange, Fruit"
SALT Candy King Jaws,"Gummy, Candy, Blue Raspberry, Blue Razz, Vanilla, Cream"
SALT Candy King Peachy Rings,"Peach, Candy, Gummy, Fruit"
SALT Candy King Pink Squares,"Strawberry, Candy, Starburst, Fruit"
SALT Candy King Strawberry Watermelon Bubblegum,"Strawberry, Watermelon, Bubblegum, Candy, Fruit"
SALT Candy King Swedish,"Swedish Fish, Candy, Gummy, Strawberry, Raspberry, Fruit"
SALT Candy King Worms,"Gummy Worms, Gummy, Candy, Orange, Lime, Lemon, Strawberry, Cherry, Raspberry, Fruit"
SALT Cassadega Cannoli Be Breakfast,"Cannoli, Cream, Fruit Loops, Cereal, Dessert"
SALT Cassadega Cannoli Be Cookie,"Cannoli, Cream, Oreo, Cookie, Dessert"
SALT Cassadega Cannoli Be Graham,"Cannoli, Graham, Cream, Dessert"
SALT Cassadega Cannoli Be Mine,"Cannoli, Cream, Strawberry, Dessert"
SALT Cassadega Cannoli Be Nuts,"Cannoli, Cream, Pistachio, Nuts, Dessert"
SALT Cassadega Cannoli Be One,"Cannoli, Cream, Vanilla, Dessert"
SALT Chubby Vapes Purp,"Grape, Bubblegum, Candy, Fruit"
SALT Chubby Vapes Strawberry,"Strawberry, Bubblegum, Candy, Fruit"
SALT Cloud Chemist Cereal Science,"Cereal, Milk, Berry, Strawberry, Blueberry, Raspberry, Dessert"
SALT Cloud Chemist Claws,"Caramel, Green Apple, Apple, Pastrey, Dessert"
SALT Cloud Chemist Frosty Science,"Frosted Flakes, Cereal, Milk, Dessert"
SALT Cloud Chemist Frosty Science Blueberry,"Blueberry, Frosted Flakes, Cereal, Milk, Dessert"
SALT Cloud Chemist Frosty Science Strawberry,"Strawberry, Frosted Flakes, Cereal, Milk, Dessert"
SALT Cloud Chemist Heisenberry Crunch,"Blueberry, Cereal, Milk, Dessert"
SALT Cloud Chemist Loopy Science,"Fruit Loops, Cereal, Milk, Dessert"
SALT Cloud Chemist Pebble Science,"Fruity Pebbles, Cereal, Milk, Dessert"
SALT Cloud Chemist The Alchemist,"Cinnamon, Sugar, Cinnamon Sugar, Cinnamon Toast Crunch, Cereal, Milk, Dessert"
SALT Cloud Chemist The Final Experiment,"Corn Pops, Maple, Cereal, Milk, Dessert"
SALT Cloud Nurdz Blue Raspberry Lemon,"Blue Razz, Blue Raspberry, Lemon, Candy, Fruit"
SALT Cloud Nurdz Grape Apple,"Grape, Apple, Green Apple, Candy, Fruit"
SALT Cloud Nurdz Grape Strawberry,"Grape, Strawberry, Candy, Fruit"
SALT Cloud Nurdz Peach Blue Razz,"Peach, Blue Razz, Blue Raspberry, Fruit, Candy"
SALT Cloud Nurdz Watermelon Apple,"Watermelon, Apple, Green Apple, Fruit, Candy"
SALT Cloud Nurdz Watermelon Berry,"Watermelon, Berry, Strawberry, Fruit, Candy"
SALT Country Clouds Corn Bread Puddin',"Cornbread, Brown Sugar, Maple, Vanilla, Pudding, Dessert"
SALT Cuttwood Bird Brains,"Fruit Loops, Cereal, Milk, Dessert"
SALT Cuttwood Boss Reserve,"Graham, Milk, Banana, Dessert"
SALT Cuttwood Mega Melons,"Melons, Cantaloupe, Papaya, Pineapple, Fruit"
SALT Cuttwood Sugar Drizzle,"Cinnamon, Sugar, Cinnamon Sugar, Cereal, Milk, Dessert"
SALT Cuttwood Tobacco Trail,"Tobacco, Honey"
SALT Cuttwood Unicorn Milk,"Milk, Strawberry, Dessert"
SALT Dinner Lady Bubble Gum,"Bubblegum, Candy"
SALT Dinner Lady Lemon Tart,"Lemon, Pastrey, Dessert, Custard"
SALT Fruitia Apple Kiwi,"Apple, Kiwi, Fruit"
SALT Fruitia Apple Kiwi Ice,"Apple, Kiwi, Ice, Menthol, Fruit"
SALT Fruitia Banana Ice,"Banana, Ice, Menthol, Fruit"
SALT Fruitia Blood Orange Cactus,"Orange, Cactus, Tangerine"
SALT Fruitia Jus Apple Bourbon Tobacco,"Apple, Bourbon, Tobacco"
SALT Fruitia Jus Blue Raspberry Cotton Candy,"Blue Raspberry, Fruit, Cotton Candy, Blue Razz, Candy"
SALT Fruitia Jus Rainbow Ice,"Fruit, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Candy, Ice, Menthol"
SALT Fruitia Jus White Grape Ice,"Grape, White Grape, Fruit, Menthol, Ice"
SALT Fruitia Passion Fruit Guava,"Passionfruit, Guava, Papaya, Fruit, Tropical"
SALT Fruitia Pineapple Citrus,"Pineapple, Citrus, Mango, Fruit"
SALT Fruitia Strawberry Coconut,"Strawberry, Coconut, Fruit"
SALT Fruitia Strawberry Coconut Refresher,"Strawberry, Coconut, Fruit"
SALT Fruitia Sweet Peach,"Peach, Sweet, Strawberry, Fruit"
SALT Glas Basix Banana Cream Pie,"Banana, Cream, Vanilla, Pie Crust, Graham, Dessert"
SALT Glas Basix Blue Razz,"Blue Raspberry, Fruit, Blue Razz, Candy, Blueberry, Raspberry"
SALT Glas Basix Blueberry Cake,"Blueberry, Cake, Sweet, Dessert, Vanilla, Frosting"
SALT Glas Basix Brown Tobacco,Tobacco
SALT Glas Basix Butterscotch Reserve,"Butterscotch, Sweet, Caramel, Tobacco, Dessert"
SALT Glas Basix Carribean Punch,"Pineapple, Apple, Peach, Strawberry, Fruit, Apricot"
SALT Glas Basix Cool Melon,"Melon, Cantaloupe, Cucumber, Ice, Menthol"
SALT Glas Basix Crystal Clear,"Unflavored, Flavorless, Cool"
SALT Glas Basix Fizzy Lemonade,"Lemonade, Lemon, Lime, Pineapple, Ice, Menthol"
SALT Gost Vapor The Pancake House Blueberry,"Blueberry, Pancake, Maple, Dessert"
SALT Gost Vapor The Pancake House Caramelized Apple,"Pancake, Caramel, Apple, Green Apple, Maple, Dessert"
SALT Gost Vapor The Pancake House Golden Maple,"Pancake, Maple, Butter, Dessert"
SALT Gost Vapor The Pancake House Strawberry,"Strawberry, Pancake, Maple, Dessert"
SALT Innevape Carousel,"Mystery, Cotton Candy, Candy, Fruit"
SALT Innevape Chill Out,"Green Apple, Apple, Menthol, Ice"
SALT Innevape The Berg,"Blue Raspberry, Fruit, Blue Razz, Candy"
SALT Innevape The Berg Menthol,"Blue Raspberry, Fruit, Blue Razz, Candy, Ice, Menthol"
SALT Innevape Vape My Day,"Caramel, Hazelnut, Butterscotch, Waffle, Dessert"
SALT Juice Head Freeze Blueberry Lemon,"Blueberry, Lemon, Ice, Menthol, Fruit"
SALT Juice Head Freeze Guava Peach,"Guava, Peach, Ice, Menthol, Fruit"
SALT Juice Head Freeze Mango Strawberry,"Mango, Strawberry, Ice, Menthol, Fruit"
SALT Juice Head Freeze Orange Mango,"Orange, Mango, Ice, Menthol, Fruit"
SALT Juice Head Freeze Peach Pear,"Peach, Pear, Ice, Menthol, Fruit"
SALT Juice Head Freeze Pineapple Grapefruit,"Pineapple, Grapefruit, Ice, Menthol, Fruit"
SALT Juice Head Freeze Pineapple Guava,"Pineapple, Guava, Ice, Menthol, Fruit"
SALT Juice Head Freeze Raspberry Lemonade,"Raspberry, Lemon, Lemonade, Ice, Menthol, Fruit"
SALT Juice Head Freeze Strawberry Kiwi,"Strawberry, Kiwi, Ice, Menthol, Fruit"
SALT Juice Head Freeze Watermelon Lime,"Watermelon, Lime, Ice, Menthol, Fruit"
SALT Juice Head R Blueberry Lemon,"Blueberry, Lemon, Fruit"
SALT Juice Head R Guava Peach,"Guava, Peach, Fruit"
SALT Juice Head R Mango Strawberry,"Mango, Strawberry, Fruit"
SALT Juice Head R Orange Mango,"Orange, Mango, Fruit"
SALT Juice Head R Peach Pear,"Peach, Pear, Fruit"
SALT Juice Head R Pineapple Grapefruit,"Pineapple, Grapefruit, Fruit"
SALT Juice Head R Pineapple Guava,"Pineapple, Guava, Fruit"
SALT Juice Head R Raspberry Lemonade,"Raspberry, Lemon, Lemonade, Fruit"
SALT Juice Head R Strawberry Kiwi,"Strawberry, Kiwi, Fruit"
SALT Juice Head R Watermelon Lime,"Watermelon, Lime, Fruit"
SALT Kaleidoscopic Clouds Looking Glass,"Strawberry, Kiwi, Watermelon, Candy, Fruit"
SALT Kaleidoscopic Clouds Optical Illusion,"Mango, Melon, Fruit, Candy"
SALT Kaleidoscopic Clouds Ruby's Eyes,"Raspberry, Pomagranate, Candy, Fruit"
SALT Kaleidoscopic Clouds Sunrise / Sunset,"Peach, Melon, Fruit"
SALT Kaleidoscopic Clouds Sunset / Sunrise,"Raspberry, Orange, Fruit"
SALT Keep it 100 Nana Foster,"Banana, Cinnamon, Sugar, Cinnamon Sugar, Vanilla, Dessert"
SALT Keep it 100 OG Blue,"Blue Raspberry, Fruit, Blue Razz, Candy, Strawberry"
SALT Keep it 100 OG Pink,"Strawberry, Fruit, Candy"
SALT Keep it 100 OG Summer Blue,"Blue Raspberry, Fruit, Blue Razz, Candy, Raspberry, Strawberry, Lemon, Lemonade"
SALT Khali Devil's Punchbowl,"Guava, Peach, Fruit, Fruit Punch, Hawaiian Punch"
SALT Khali Devil's Punchbowl Ice,"Guava, Peach, Fruit, Fruit Punch, Hawaiian Punch, Ice, Menthol"
SALT Khali The Fairmont,"Pineapple, Cream, Vanilla, Dessert"
SALT Killer Fruits By Vapetasia Blue Razz,"Blue Raspberry, Fruit, Blue Razz, Candy"
SALT Killer Fruits By Vapetasia Trapple,"Triple Apple, Golden Apple, Red Apple, Green Apple, Apple, Fruit"
SALT Lost Art Grape White,"White Grape, Grape, Fruit"
SALT Met4 Fair Grounds,"Deep Fried Twinkie, Twinkie, Cream Cake, Dessert, Vanilla"
SALT Met4 Golden Ticket,"Chocolate, Milk, Chocolate Milk, Dessert"
SALT Mighty Vapors Frozen Hulk Tears,"Green Apple, Apple, Menthol, Ice, Watermelon, Strawberry, Candy, Fruit"
SALT Mighty Vapors Hulk Tears,"Green Apple, Apple, Watermelon, Strawberry, Candy, Fruit"
SALT Mighty Vapors Super Mint,"Mint, Spearmint, Menthol, Ice"
SALT ML Custard Monster Banana,"Banana, Cream, Custard, Dessert, Sweet"
SALT ML Custard Monster Blackberry,"Sweet, Blackberry, Custard, Cream, Dessert"
SALT ML Custard Monster Blueberry,"Sweet, Blueberry, Custard, Cream, Dessert"
SALT ML Custard Monster Butterscotch,"Sweet, Butterscotch, Custard, Cream, Dessert"
SALT ML Custard Monster Gingerbread,"Sweet, Gingerbread, Custard, Cream, Dessert"
SALT ML Custard Monster Mixed Berry,"Sweet, Mixed Berry, Strawberry, Blackberry, Blueberry, Cream, Dessert, Custard, Raspberry"
SALT ML Custard Monster Strawberry,"Strawberry, Custard, Sweet, Cream, Dessert"
SALT ML Custard Monster Vanilla,"Vanilla, Custard, Sweet, Cream, Dessert"
SALT ML Frozen Fruit Monster Banana Ice,"Banana, Ice, Menthol, Fruit"
SALT ML Frozen Fruit Monster Black Cherry Ice,"Cherry, Ice, Menthol, Fruit"
SALT ML Frozen Fruit Monster Blueberry Raspberry Lemon Ice,"Blueberry, Raspberry, Lemon, Ice, Menthol, Fruit"
SALT ML Frozen Fruit Monster Mango Peach Guava Ice,"Mango, Peach, Guava, Fruit, Menthol, Ice"
SALT ML Frozen Fruit Monster Mixed Berry Ice,"Berry, Fruit, Mixed Berry, Strawberry, Blackberry, Blueberry, Raspberry, Ice, Menthol"
SALT ML Frozen Fruit Monster Passionfruit Orange Guava Ice,"Passionfruit, Orange, Guava, Ice, Menthol, Fruit"
SALT ML Frozen Fruit Monster Strawberry Banana Ice,"Strawberry, Banana, Ice, Menthol, Fruit"
SALT ML Frozen Fruit Monster Strawberry Kiwi Pomegranate Ice,"Strawberry, Kiwi, Pomegranate, Ice, Menthol, Fruit"
SALT ML Frozen Fruit Monster Strawberry Lime Ice,"Strawberry, Lime, Ice, Fruit, Menthol"
SALT ML Fruit Monster Black Cherry,"Cherry, Fruit"
SALT ML Fruit Monster Blueberry Raspberry Lemon,"Blueberry, Raspberry, Lemon, Fruit"
SALT ML Fruit Monster Mango Peach Guava,"Mango, Peach, Guava, Fruit"
SALT ML Fruit Monster Mixed Berry,"Raspberry, Blueberry, Strawberry, Blackberry, Fruit"
SALT ML Fruit Monster Passionfruit Orange Guava,"Passionfruit, Orange, Guava, Fruit, Tropical"
SALT ML Fruit Monster Strawberry Banana,"Strawberry, Banana, Fruit"
SALT ML Fruit Monster Strawberry Kiwi Pomegranate,"Strawberry, Kiwi, Pomegranate, Fruit"
SALT ML Fruit Monster Strawberry Lime,"Strawberry, Lime, Fruit"
SALT ML Jam Monster Banana,"Banana, Jam, Butter, Toast, Dessert"
SALT ML Jam Monster Black Cherry,"Cherry, Jam, Butter, Toast, Dessert"
SALT ML Jam Monster Blackberry,"Blackberry, Jam, Butter, Toast, Dessert"
SALT ML Jam Monster Blueberry,"Blueberry, Jam, Butter, Toast, Dessert"
SALT ML Jam Monster Grape,"Grape, Jam, Butter, Toast, Dessert"
SALT ML Jam Monster Mixed Berry,"Strawberry, Blackberry, Blueberry, Raspberry, Mixed Berry, Jam, Butter, Toast, Dessert"
SALT ML Jam Monster PB & Banana,"Peanut, Peanut Butter, Banana, Jam, Dessert"
SALT ML Jam Monster PB & Grape,"Peanut, Peanut Butter, Grape, Jam, Dessert"
SALT ML Jam Monster PB & Strawberry,"Peanut, Peanut Butter, Strawberry, Jam, Dessert"
